1;banana;89;1;23;1;Fructe
2;dasd;123;30;1;1;Carne
3;dasd;123;30;1;1;Carne
4;dasd;123;30;1;1;Carne
5;sad;100;20;1;1;Legume
6;sad;100;20;1;1;Legume
7;sad;100;20;1;1;Legume
8;sad;100;20;1;1;Legume
9;sad;100;20;1;1;Legume
10;sad;100;20;1;1;Legume
11;asdsa;100;20;1;1;Lactate
12;asdsa;100;20;1;1;Lactate
13;asdsa;100;20;1;1;Lactate
14;banbaba;100;20;1;1;Dulciuri
15;banbaba;100;20;1;1;Dulciuri
16;banbaba;100;20;1;1;Dulciuri
17;banbaba;100;20;1;1;Dulciuri
18;banbaba;100;20;1;1;Dulciuri
19;banbaba;100;20;1;1;Dulciuri
20;banbaba;100;20;1;1;Dulciuri
21;banbaba;100;20;1;1;Dulciuri
22;banbaba;100;20;1;1;Dulciuri
23;banbaba;100;20;1;1;Dulciuri
24;gSasd;100;20;1;1;Legume
25;gSasd;100;20;1;1;Legume
26;hdaf;100;20;1;1;Cereale
